,period,SMA,EMA,WMA,DEMA,KAMA,MIDPOINT,MIDPRICE,T3,TEMA,TRIMA
27,31,1.613849782648471,1.6811302798405212,1.7675113145854568,1.7705608160640356,1.55250048966716,1.5132741327052583,1.5218515734130433,1.6815092600556465,1.8508443419074114,1.8321321200136504
28,32,1.5910272478754495,1.6796660507045205,1.7500473165990271,1.7658998389052671,1.5167156597047857,1.4609722317164697,1.4779126182292184,1.6867896437803032,1.8503609119111648,1.799879743902103
29,33,1.571441277222847,1.6783475583508234,1.733311637816167,1.7612744786222028,1.4890147600738604,1.4097608519945004,1.4380893034587516,1.692122884853835,1.8489696264627347,1.7708928671003605
30,34,1.556502309393318,1.6771654731739787,1.7176645636804577,1.7567240976609284,1.4677116019937606,1.3781053765783866,1.3995814560491364,1.6973702202421923,1.8468626223085534,1.7435121209289783
31,35,1.5450982905349466,1.6761106115277913,1.703189470937887,1.7522769603300639,1.447217090794605,1.3459235405540997,1.3564940979774303,1.7024391905447251,1.8441985228125202,1.7194508490181135
32,36,1.5387198394098418,1.6751741118096624,1.6901071878170923,1.7479527146903058,1.4308532993753424,1.3156733180416162,1.3148505004564779,1.7072747108255075,1.8411068090991562,1.697341877067402
33,37,1.5348647672263216,1.6743475433945147,1.6783763712678836,1.7437643859226166,1.413414871183903,1.2879938326064686,1.27955449753571,1.7118512650999465,1.8376921172518248,1.6782765765629222
34,38,1.533085668956506,1.673622967396391,1.6679201846415124,1.7397199621611719,1.3947584682132432,1.2677727005716024,1.267158505331608,1.7161661773773766,1.8340382436314098,1.6609614306938592
35,39,1.5331749110368413,1.6729929634671632,1.6586506444639024,1.7358236451860214,1.380393427608703,1.2611594409042655,1.257948252141961,1.7202338846340037,1.83021174634559,1.6462189522000452
36,40,1.535951859363725,1.6724506331795852,1.6505335690112424,1.732076828701623,1.369572807835995,1.273273988419892,1.2736602516322841,1.724081127672782,1.8262650996342797,1.633157616573931
37,41,1.5413563795607543,1.671989587755477,1.6434874821283199,1.7284788573624137,1.3634244923542604,1.2900959499095708,1.291450672274913,1.727742973522309,1.8222394007356622,1.6224627152014464
38,42,1.5497448487237437,1.6716039257885609,1.6375284449573817,1.7250276108522489,1.3613430308965162,1.310538939797504,1.315781538585396,1.7312595827194512,1.8181666539720136,1.6135513292573376
39,43,1.5608599494325648,1.6712882050256561,1.6326205218082674,1.7217199494688535,1.3663659730075044,1.3368377965586686,1.3447128467920435,1.7346736350114285,1.814071670283257,1.6069052511685327
40,44,1.5738139072567932,1.671037411084923,1.6287055613052135,1.7185520508764087,1.38124526342118,1.3665308982182551,1.3795136891433988,1.738028327886322,1.8099736263580994,1.6021097713572603
41,45,1.5881829343086866,1.6708469251102147,1.6257460146039058,1.7155196619503188,1.3993392499346236,1.402916026479406,1.419473472786559,1.741365864547294,1.8058873286879233,1.599383132690499
42,46,1.6025155266486628,1.670712491715566,1.6236351817900343,1.7126182848530036,1.4201694653711103,1.4437186330342455,1.4648154876015025,1.7447263518599683,1.8018242261809427,1.5983048008769367
43,47,1.6166268480752237,1.6706301881015841,1.6222790432133087,1.7098433125403072,1.4452881593722393,1.4889373652933862,1.5120649137737947,1.748147034466963,1.7977932116704916,1.5988988129746506
44,48,1.630989224982316,1.670596394886721,1.6216148293594503,1.7071901256902189,1.466268014092027,1.53657860960229,1.564403354484591,1.7516617983355092,1.7938012485543637,1.6008402920396307
45,49,1.6467901612085314,1.6706077689539058,1.6216443005529713,1.7046541604464824,1.492321274847172,1.587712665448765,1.6325531406005342,1.7553008849837757,1.7898538544015452,1.6041782470781942
